steering,throttle,brake,speed
-0.0032799999999999774,0.0,0.0,6.868822
-0.2,0.0,0.8158152,2.499474
-0.3466201,0.0,0.0,8.416808
-0.2,0.0,0.0,9.865018
-0.2,0.4575362,0.0,9.317219
-0.0,0.0,0.0,7.048618
-0.2,0.3602968,0.0,7.764077
-0.13136907,0.0,0.0,7.414797
-0.2,0.0,0.3484919,26.01487
0.143959,0.0,0.0,10.32225
-0.4890811,0.0,0.0,10.56751
-0.2,0.06309593,0.0,11.05109
-0.2,0.2678729,0.0,7.620426
-0.04663700000000001,0.0,0.0,14.17614
-0.3321081,0.04088652,0.0,10.93911
0.2,0.0,0.0,8.84597
0.2,0.5491984,0.0,16.47827
0.0,0.0,0.0,11.9024
-0.2,0.0,0.0,8.999731
-0.2,0.0,0.0,6.229813
-0.2,0.0,0.0,8.620859
0.2,0.0,0.0,14.24651
-0.2,1.0,0.0,12.38529
0.2,0.1224961,0.0,13.31355
0.15970600000000001,0.0,0.0,12.67525
0.1173116,0.0,0.0,8.148986
0.3302189,0.0,0.0,8.003713
0.2,0.0,0.0,2.06901
-0.0,0.0,0.0,10.37494
-0.2,0.0,0.0,14.43
-0.3390107,0.0,0.0,7.797855
-0.2,0.0,0.0,13.06652
0.2,0.8462942,0.0,13.06984
0.1452736,0.0,0.0,7.586951
-0.2,0.0,0.0,12.22386
-0.0,0.3467638,0.0,13.97084
0.2,0.0,0.0,5.98291
0.2,0.0,0.0,9.723138
0.2,0.2422922,0.0,7.354086
-0.2,0.0,0.0,5.490092
-0.2,0.0,0.0,9.327034
0.3709531,0.0,0.0,8.288133
0.2,0.1614488,0.0,16.2261
-0.15383918000000002,0.0,0.0,7.857342
0.0,1.0,0.0,15.38891
0.2,0.0,1.0,5.264345
-0.6091939,0.0,0.0,8.258358
-0.0,0.0,0.0,9.7289
-0.3316571,0.0,0.0,5.031689
-0.2,0.0,0.0,9.499328
0.2,1.0,0.0,27.87935
-0.2,0.0,0.0,5.674127
0.2,0.0,0.0,10.07025
-0.2,0.0,0.0,9.887044
-0.19270939999999998,0.0,0.0,5.452998
-0.2,0.3444389,0.0,10.07229
-0.2,0.4368896,0.0,9.249415
0.2,0.0,0.0,13.6525
0.2,0.0,0.0,7.308732
0.2702824,0.0,0.0,7.600605
0.4822977,0.0,0.0,11.42924
-0.2,0.0,0.0,14.95208
0.6699008,0.0,0.0,7.644341
0.2,0.0,0.0,16.63836
0.2,0.4673281,0.0,9.814498
0.10081299999999999,0.5706607,0.0,9.421695
-0.2,0.0,0.0,14.30066
-0.38517680000000004,0.0,0.0,6.150627
0.1447706,0.0,0.0,10.04087
-0.053575700000000004,0.0,0.0,16.00131
0.2,0.1672225,0.0,7.649415
-0.2,0.0,0.0,7.490972
0.8150052,0.0,0.0,7.117724
0.2,0.0,0.0,16.1168
-0.0,0.1552409,0.0,6.546567
-0.2,0.0,0.0,9.247447
-0.2,0.0,0.0,8.004057
0.2,0.246603,0.0,7.047416
